数据主题,类型,名称,字段名,描述,可过滤,可排序,过滤可选值数量,排除维度数量,排除指标数量,备注
BASIC_DATA,维度,时间-小时,stat_time_hour,细分到每个小时的数据,否,是,,7,9,
BASIC_DATA,维度,时间-天,stat_time_day,细分到自然天的数据,否,是,,0,0,
BASIC_DATA,维度,时间-周,stat_time_week,细分到自然周的数据，周一到周日为一整周,否,是,,0,0,
BASIC_DATA,维度,时间-月,stat_time_month,细分到自然月的数据，例如2022-3，表示是3月1日到3月31日,否,是,,0,0,
BASIC_DATA,维度,项目ID,cdp_project_id,项目ID,是,是,,0,0,
BASIC_DATA,维度,项目名称,cdp_project_name,项目的名称,是,否,,0,0,
BASIC_DATA,维度,项目类型,campaign_type,对应项目的类型,是,是,3,0,0,
BASIC_DATA,维度,营销目的,landing_type,营销目的,是,是,17,0,0,
BASIC_DATA,维度,转化目标,external_action,对应项目的转化目标,是,是,158,0,0,
BASIC_DATA,维度,计费类型,pricing,对应项目的计费类型,是,是,11,0,3,
BASIC_DATA,维度,深度转化目标,deep_external_action,对应项目的深度转化目标,是,是,41,0,6,
BASIC_DATA,维度,下载方式,ad_platform_cdp_project_download_type,在项目中设置的下载方式,否,否,,0,0,
BASIC_DATA,维度,下载链接,ad_platform_cdp_project_download_url,在项目中设置的下载链接,否,否,,0,0,
BASIC_DATA,维度,转化监测地址,ad_platform_cdp_project_action_track_url,在项目中设置的监测链接,否,否,,0,0,
BASIC_DATA,维度,投放模式,delivery_mode,投放模式,是,是,3,0,6,
BASIC_DATA,维度,营销场景,cdp_marketing_goal,营销场景仅支持2023年4月15日之后的数据。,是,是,2,0,6,
BASIC_DATA,维度,是否搜索蓝海流量项目,is_search_blue_flow_package,是否搜索蓝海流量项目,是,否,2,0,6,
BASIC_DATA,维度,关键行为名称,game_addiction_name,关键行为名称指客户在优化关键行为时，选择的自定义行为事件。,否,否,,7,87,
BASIC_DATA,维度,线索多载体优选,multi_asset_switch,可查看开启线索多载体优选项目的数据,否,否,,7,13,
BASIC_DATA,维度,单元ID,cdp_promotion_id,单元ID,是,是,,0,0,
BASIC_DATA,维度,单元名称,cdp_promotion_name,对应单元的名称,是,否,,0,0,
BASIC_DATA,维度,单元出价,ad_platform_cdp_promotion_bid,在单元中设置的出价,否,否,,0,0,
BASIC_DATA,维度,深度转化出价,ad_platform_cdp_promotion_deep_cpa_bid,在单元中设置的深度转化出价,否,否,,0,0,
BASIC_DATA,维度,ROI系数,ad_platform_cdp_promotion_roi_goal,在单元中设置的ROI系数,否,否,,0,0,
BASIC_DATA,维度,是否原生营销,native_type,是否原生营销,是,是,3,0,6,
BASIC_DATA,维度,抖音号,aweme_id,单元中，您所选投放的抖音号,是,否,,0,3,
BASIC_DATA,维度,抖音昵称,aweme_nick_name,单元中，您所选投放的抖音昵称,否,否,,0,3,
BASIC_DATA,维度,首选位置,app_code,您所投放的单元数据中，对应的首选投放版位,是,是,11,0,9,
BASIC_DATA,维度,包名,package_name,您在项目中设置的应用包包名,是,是,,0,6,
BASIC_DATA,维度,性别,gender,您所投放的单元数据中，对应的用户性别。无法识别的性别数据会显示为“其他”,是,是,5,6,266,
BASIC_DATA,维度,年龄,age,您所投放的单元数据中，对应的用户年龄。无法识别的年龄数据会显示为“其他”,是,是,8,6,266,
BASIC_DATA,维度,年龄（细分）,age_v2,您所投放的单元数据中，对应的用户细分年龄。无法识别的年龄数据会显示为“其他”。年龄细分仅支持2023年3月28日之后的数据。,是,是,11,6,266,
BASIC_DATA,维度,网络,ac,您所投放的单元数据中，对应的用户网络环境。无法识别的网络数据会显示为“其他”,是,是,6,6,266,
BASIC_DATA,维度,平台,platform,您所投放的单元数据，对应的操作系统平台，无法识别的操作系统会显示为“其他”,是,是,6,6,266,
BASIC_DATA,维度,省份,province_name,您所投放的单元数据，对应的用户省份信息,是,是,36,9,266,
BASIC_DATA,维度,城市,city_name,您所投放的单元数据，对应的用户城市信息,是,是,,9,266,
BASIC_DATA,维度,素材类型,image_mode,对应的素材类型，包括标题、大图横图、竖版视频等,是,是,17,0,17,
BASIC_DATA,维度,直播素材形式,cdp_promotion_live_type,,否,是,,0,0,
BASIC_DATA,指标,消耗(元),stat_cost,表示单元在投放期内的预估花费金额。当天数据可能会有波动，次日稳定,,,,0,0,
BASIC_DATA,指标,展示数,show_cnt,单元展示给用户的次数。计算方式：经平台判定有效且被计费的展示次数。,,,,0,0,
BASIC_DATA,指标,平均千次展现费用(元),cpm_platform,单元平均每一千次展现所付出的费用，计算公式是：总消耗/展示数*1000。,,,,0,0,
BASIC_DATA,指标,点击数,click_cnt,当用户点击单元素材时，触发点击事件，该事件被认为是一次有效的单元点击。,,,,0,0,
BASIC_DATA,指标,点击率,ctr,单元被点击的次数占展示次数的百分比。计算方法：点击数/展示数*100%,,,,0,0,
BASIC_DATA,指标,平均点击单价(元),cpc_platform,计算公式是：总消耗/点击数。,,,,0,0,
BASIC_DATA,指标,首位消耗,search_first_position_stat_cost,单元投出在搜索结果页第一位的消耗,,,,8,0,
